time_period,area_code,region,region_or_country_name,index,monthly_change,annual_change,rental_price,index_one_bed,monthly_change_one_bed,annual_change_one_bed,rental_price_one_bed,index_two_bed,monthly_change_two_bed,annual_change_two_bed,rental_price_two_bed,index_three_bed,monthly_change_three_bed,annual_change_three_bed,rental_price_three_bed,index_four_or_more_bed,monthly_change_four_or_more_bed,annual_change_four_or_more_bed,rental_price_four_or_more_bed,index_detached,monthly_change_detached,annual_change_detached,rental_price_detached,index_semidetached,monthly_change_semidetached,annual_change_semidetached,rental_price_semidetached,index_terraced,monthly_change_terraced,annual_change_terraced,rental_price_terraced,index_flat_maisonette,monthly_change_flat_maisonette,annual_change_flat_maisonette,rental_price_flat_maisonette,financial_year,cat_b,gap
2015-01-01T00:00:00Z,E12000001,North East,NA,86.067868,NA,NA,533,86.317228999999998,NA,NA,370,87.214833999999996,NA,NA,474,85.945071999999996,NA,NA,562,85.500778999999994,NA,NA,849,86.279452000000006,NA,NA,762,86.288927000000001,NA,NA,561,85.292654999999996,NA,NA,546,87.215653000000003,NA,NA,453,2014-15,NA,NA
2015-02-01T00:00:00Z,E12000001,North East,NA,86.075849,9.273E-3,NA,533,86.446927000000002,0.150258,NA,371,87.249039999999994,3.9219999999999998E-2,NA,474,85.963111999999995,2.0989000000000001E-2,NA,562,85.427987999999999,-8.5135000000000002E-2,NA,848,86.258347999999998,-2.4459999999999999E-2,NA,761,86.267572999999999,-2.4746000000000001E-2,NA,561,85.301167000000007,9.9799999999999993E-3,NA,547,87.27843,7.1978E-2,NA,453,2014-15,NA,NA
2015-03-01T00:00:00Z,E12000001,North East,NA,86.123862,5.5779000000000002E-2,NA,533,86.390736000000004,-6.5001000000000003E-2,NA,370,87.298378999999997,5.6549000000000002E-2,NA,474,85.999303999999995,4.2103000000000002E-2,NA,562,85.597140999999993,0.19800699999999999,NA,850,86.390708000000004,0.153446,NA,763,86.314021999999994,5.3843000000000002E-2,NA,561,85.342569999999995,4.8536999999999997E-2,NA,547,87.299245999999997,2.385E-2,NA,453,2014-15,NA,NA
2015-04-01T00:00:00Z,E12000001,North East,NA,86.189388,7.6083999999999999E-2,NA,534,86.549490000000006,0.18376300000000001,NA,371,87.359562999999994,7.0086999999999997E-2,NA,475,86.063131999999996,7.4218999999999993E-2,NA,563,85.569682999999998,-3.2079000000000003E-2,NA,849,86.449228000000005,6.7738000000000007E-2,NA,763,86.389803999999998,8.7798000000000001E-2,NA,561,85.381955000000005,4.6149999999999997E-2,NA,547,87.406452999999999,0.122804,NA,454,2015-16,351.44777777777784,182.55222222222216
2015-05-01T00:00:00Z,E12000001,North East,NA,86.241654,6.0641E-2,NA,534,86.524019999999993,-2.9427999999999999E-2,NA,371,87.422257000000002,7.1764999999999995E-2,NA,475,86.110299999999995,5.4806000000000001E-2,NA,563,85.502066999999997,-7.9019000000000006E-2,NA,849,86.478960000000001,3.4393E-2,NA,763,86.456982999999994,7.7761999999999998E-2,NA,562,85.427198000000004,5.2989000000000001E-2,NA,547,87.463312999999999,6.5051999999999999E-2,NA,454,2015-16,351.44777777777784,182.55222222222216
2015-06-01T00:00:00Z,E12000001,North East,NA,86.325967,9.7764000000000004E-2,NA,534,86.544304999999994,2.3444E-2,NA,371,87.503653999999997,9.3107999999999996E-2,NA,475,86.211205000000007,0.11718199999999999,NA,564,85.499320999999995,-3.2109999999999999E-3,NA,849,86.624606999999997,0.16841900000000001,NA,765,86.562826999999999,0.12242500000000001,NA,563,85.488995000000003,7.2338E-2,NA,548,87.531633999999997,7.8114000000000003E-2,NA,455,2015-16,351.44777777777784,182.55222222222216
2015-07-01T00:00:00Z,E12000001,North East,NA,86.320563,-6.2589999999999998E-3,NA,534,86.617265000000003,8.4304000000000004E-2,NA,371,87.455636999999996,-5.4873999999999999E-2,NA,475,86.198391000000001,-1.4865E-2,NA,564,85.594491000000005,0.11131000000000001,NA,850,86.721670000000003,0.112049,NA,765,86.580731999999998,2.0684000000000001E-2,NA,563,85.444297000000006,-5.2284999999999998E-2,NA,547,87.520635999999996,-1.2565E-2,NA,454,2015-16,351.44777777777784,182.55222222222216
2015-08-01T00:00:00Z,E12000001,North East,NA,86.455757,0.15661800000000001,NA,535,86.671217999999996,6.2288000000000003E-2,NA,372,87.621385000000004,0.189522,NA,476,86.307451,0.126522,NA,565,85.921621999999999,0.382187,NA,853,86.929663000000005,0.23984,NA,767,86.701184999999995,0.139122,NA,563,85.549441999999999,0.123056,NA,548,87.700055000000006,0.20500299999999999,NA,455,2015-16,351.44777777777784,183.55222222222216
2015-09-01T00:00:00Z,E12000001,North East,NA,86.459976,4.8809999999999999E-3,NA,535,86.590924000000001,-9.2642000000000002E-2,NA,371,87.576589999999996,-5.1124000000000003E-2,NA,476,86.352097999999998,5.1729999999999998E-2,NA,565,86.076633000000001,0.18040900000000001,NA,854,86.955567000000002,2.9798999999999999E-2,NA,768,86.704577999999998,3.9139999999999999E-3,NA,563,85.575615999999997,3.0595000000000001E-2,NA,548,87.650358999999995,-5.6666000000000001E-2,NA,455,2015-16,351.44777777777784,183.55222222222216
2015-10-01T00:00:00Z,E12000001,North East,NA,86.511033,5.9052E-2,NA,536,86.616561000000004,2.9607000000000001E-2,NA,371,87.603572999999997,3.0811000000000002E-2,NA,476,86.456091999999998,0.12043,NA,565,86.058964000000003,-2.0527E-2,NA,854,86.962089000000006,7.4999999999999997E-3,NA,768,86.815290000000005,0.127689,NA,564,85.606662999999998,3.628E-2,NA,548,87.680466999999993,3.4349999999999999E-2,NA,455,2015-16,351.44777777777784,184.55222222222216
2015-11-01T00:00:00Z,E12000001,North East,NA,86.664428,0.177313,NA,537,86.721808999999993,0.12151000000000001,NA,372,87.740819000000002,0.156667,NA,477,86.584199999999996,0.148178,NA,566,86.306533000000002,0.28767399999999999,NA,857,87.162450000000007,0.23039999999999999,NA,769,86.964872999999997,0.17230100000000001,NA,565,85.758581000000007,0.17746100000000001,NA,549,87.818427999999997,0.15734500000000001,NA,456,2015-16,351.44777777777784,185.55222222222216
2015-12-01T00:00:00Z,E12000001,North East,NA,86.660304,-4.7580000000000001E-3,NA,537,86.768615999999994,5.3974000000000001E-2,NA,372,87.738488000000004,-2.6570000000000001E-3,NA,477,86.579898999999997,-4.9670000000000001E-3,NA,566,86.249422999999993,-6.6171999999999995E-2,NA,856,87.119052999999994,-4.9787999999999999E-2,NA,769,86.972938999999997,9.2739999999999993E-3,NA,565,85.740943999999999,-2.0566000000000001E-2,NA,549,87.844222000000002,2.9371999999999999E-2,NA,456,2015-16,351.44777777777784,185.55222222222216
2016-01-01T00:00:00Z,E12000001,North East,NA,86.769107,0.125551,0.814751,537,86.948999000000001,0.20788999999999999,0.73191700000000004,373,87.893968999999998,0.17721100000000001,0.77869200000000005,478,86.763852,0.21246599999999999,0.95267800000000002,567,86.279516000000001,3.4890999999999998E-2,0.91079500000000002,856,87.288301000000004,0.194272,1.169281,770,87.095416999999998,0.140823,0.934639,566,85.784873000000005,5.1235000000000003E-2,0.57709299999999997,550,88.033601000000004,0.215585,0.93784599999999996,457,2015-16,351.44777777777784,185.55222222222216
2016-02-01T00:00:00Z,E12000001,North East,NA,86.942693,0.20005500000000001,1.0070699999999999,538,87.162733000000003,0.24581500000000001,0.82802900000000002,374,88.104918999999995,0.240005,0.98096099999999997,479,86.918012000000004,0.177678,1.1108260000000001,568,86.35127,8.3165000000000003E-2,1.080773,857,87.427259000000006,0.159194,1.3551280000000001,772,87.250904000000006,0.17852599999999999,1.1398619999999999,567,85.968635000000006,0.21421200000000001,0.78248300000000004,551,88.229341000000005,0.22234699999999999,1.089515,458,2015-16,351.44777777777784,186.55222222222216
2016-03-01T00:00:00Z,E12000001,North East,NA,87.011539,7.9185000000000005E-2,1.0306979999999999,539,87.243814999999998,9.3023999999999996E-2,0.98746599999999995,374,88.088463000000004,-1.8678E-2,0.90503900000000004,479,87.040110999999996,0.14047599999999999,1.21025,569,86.417997999999997,7.7274999999999996E-2,0.95897699999999997,858,87.535983000000002,0.12436,1.325693,773,87.369073999999998,0.135437,1.2223409999999999,568,86.029432999999997,7.0721999999999993E-2,0.80483099999999996,551,88.232234000000005,3.2789999999999998E-3,1.0687249999999999,458,2015-16,351.44777777777784,187.55222222222216
2016-04-01T00:00:00Z,E12000001,North East,NA,87.098954,0.100464,1.0553110000000001,539,87.275987000000001,3.6875999999999999E-2,0.83940000000000003,374,88.179394000000002,0.103227,0.93845599999999996,479,87.105362999999997,7.4968000000000007E-2,1.2110080000000001,570,86.530398000000005,0.13006499999999999,1.1227279999999999,859,87.675240000000002,0.159085,1.418188,774,87.467337999999998,0.11247,1.247293,568,86.089707000000004,7.0061999999999999E-2,0.82892399999999999,552,88.327988000000005,0.108524,1.0543100000000001,459,2016-17,351.44777777777784,187.55222222222216
2016-05-01T00:00:00Z,E12000001,North East,NA,87.189812,0.10431600000000001,1.099421,540,87.414272999999994,0.158447,1.0289079999999999,375,88.285967999999997,0.120861,0.98797699999999999,480,87.143972000000005,4.4325000000000003E-2,1.2004049999999999,570,86.576848999999996,5.3681E-2,1.2570250000000001,859,87.776785000000004,0.11581900000000001,1.50074,775,87.578817000000001,0.12745200000000001,1.2975639999999999,569,86.163219999999995,8.5391999999999996E-2,0.86157799999999995,552,88.419219999999996,0.10328900000000001,1.092924,459,2016-17,351.44777777777784,188.55222222222216
2016-06-01T00:00:00Z,E12000001,North East,NA,87.367477,0.203768,1.2064859999999999,541,87.453297000000006,4.4643000000000002E-2,1.0503199999999999,375,88.394908999999998,0.123395,1.0185340000000001,480,87.350787999999994,0.23732600000000001,1.3218490000000001,571,86.906846999999999,0.381162,1.646242,863,87.995357999999996,0.24901100000000001,1.582403,777,87.752971000000002,0.198854,1.3748899999999999,570,86.370237000000003,0.24026,1.0308250000000001,553,88.528516999999994,0.123612,1.138884,460,2016-17,351.44777777777784,189.55222222222216
2016-07-01T00:00:00Z,E12000001,North East,NA,87.861587,0.565554,1.785234,544,87.916421,0.52956700000000001,1.4998800000000001,377,88.890026000000006,0.56011999999999995,1.6401330000000001,483,87.845358000000004,0.56618900000000005,1.910671,575,87.470592999999994,0.64867799999999998,2.1918489999999999,868,88.468733999999998,0.53795599999999999,2.0145650000000002,781,88.251911000000007,0.568573,1.9301969999999999,574,86.863380000000006,0.57096499999999994,1.660828,557,89.030230000000003,0.56672400000000001,1.724844,462,2016-17,351.44777777777784,192.55222222222216
